,id,law_type,state,sentence,length,start_page,end_page,act,section,path,year,predicted_label,jim_crow,
276403,1952_0000,Act,SOUTH CAROLINA,680 An Act To Amend Section 1 Of Act No.,45,45,45,680,680,https://emailsc.sharepoint.com/:i:/r/sites/COTEAM-ULIB-OntheBooks/Shared%20Documents/General/OCRed/1952/Images/00045.jpg,1952,0,0,
276404,1952_0001,Act,SOUTH CAROLINA,"725 Of The Acts Of The General Assembly Of The State Of South Carolina Of 1942 UOU OUO' Entitled An Act Authorizing The State Game Department To Furnish Hunting Licenses Of Other Material Than Metal, As Determined By The Joint Committee On Printing, For A Limited Time As Specified Herein, 80 As To Substitute The State Budget And Control Board For The Joint Committee On Printing, And To Make The Act A Permanent Act.",425,45,45,680,725,https://emailsc.sharepoint.com/:i:/r/sites/COTEAM-ULIB-OntheBooks/Shared%20Documents/General/OCRed/1952/Images/00045.jpg,1952,0,0,
276405,1952_0002,Act,SOUTH CAROLINA,Act 725 of 1942 amendedmaterial use for hunting licenses.Section 1 of Act No.,82,45,45,681,1,https://emailsc.sharepoint.com/:i:/r/sites/COTEAM-ULIB-OntheBooks/Shared%20Documents/General/OCRed/1952/Images/00045.jpg,1952,0,0,
276406,1952_0003,Act,SOUTH CAROLINA,"725 of the Acts of the General Assembly of the State of South Carolina, 1942, entitled An Act Authorizing the State Game Department to Furnish Hunting Licenses of Other Material than Metal, as Determined by the Joint Committee on Printing, for a Limited Time as Specified Herein, is hereby amended by striking out all of the section and inserting in lieu thereof the following : section 1.",396,45,46,681,725,https://emailsc.sharepoint.com/:i:/r/sites/COTEAM-ULIB-OntheBooks/Shared%20Documents/General/OCRed/1952/Images/00045.jpg,1952,0,0,
276407,1952_0004,Act,SOUTH CAROLINA,Hunting licenses shall be made of paper or cloth or such other material as shall be determined and specified by the State Budget and Control Board. Section 2. Repeal.All acts or parts of acts inconsistent herewith are hereby repealed.,240,46,46,681,1,https://emailsc.sharepoint.com/:i:/r/sites/COTEAM-ULIB-OntheBooks/Shared%20Documents/General/OCRed/1952/Images/00046.jpg,1952,0,0,
276408,1952_0005,Act,SOUTH CAROLINA,"Time effectiveThis act shall take effect upon its approval by the Governor. Approved the 28th day of December, 1951",131,46,46,681,3,https://emailsc.sharepoint.com/:i:/r/sites/COTEAM-ULIB-OntheBooks/Shared%20Documents/General/OCRed/1952/Images/00046.jpg,1952,0,0,
276409,1952_0006,Act,SOUTH CAROLINA,"(R423, $290, of 1951) No.",30,46,46,681,1951,https://emailsc.sharepoint.com/:i:/r/sites/COTEAM-ULIB-OntheBooks/Shared%20Documents/General/OCRed/1952/Images/00046.jpg,1952,0,0,
276410,1952_0007,Act,SOUTH CAROLINA,"681 An Act To Amend Section 17871 Of The Code Of Laws Of South Carolina, 1942, Relating To The Protection Of Wild Birds, Other Than Game Birds, So As To Eliminate From Such Protection All Destructive Birds Except Bald Eagles And Buzzards.",243,46,46,681,681,https://emailsc.sharepoint.com/:i:/r/sites/COTEAM-ULIB-OntheBooks/Shared%20Documents/General/OCRed/1952/Images/00046.jpg,1952,0,0,
276411,1952_0008,Act,SOUTH CAROLINA,"17871, 1942 Code, amendednot kill, possess, purchase or offer for sale wild birds other than game birds or certain destructive birdssale or possession of plumage, skin or body of a bird protected hereinnot take or destroy their nests or egga transportation.Section 17871 of the Code of Laws of South Carolina, 1942, is hereby amended by striking out all of said section and inserting therein a new section which shall read as follows: section 17871.",456,46,46,681,1,https://emailsc.sharepoint.com/:i:/r/sites/COTEAM-ULIB-OntheBooks/Shared%20Documents/General/OCRed/1952/Images/00046.jpg,1952,0,0,
276412,1952_0009,Act,SOUTH CAROLINA,"(1) No person within this state shall kill, catch cr have in his possession, living or dead, any resident or migratory wild bird other than a game bird or a bird, not a bald eagle or buzzard, classified by Section 1757 as destructive.",239,46,46,681,1,https://emailsc.sharepoint.com/:i:/r/sites/COTEAM-ULIB-OntheBooks/Shared%20Documents/General/OCRed/1952/Images/00046.jpg,1952,0,0,
276413,1952_0010,Act,SOUTH CAROLINA,"No person shall within this state purchase, offer or expose for sale any bird protected by this section after it has been killed or caught, except as permitted by section 17872 and 17873.",192,46,47,681,1,https://emailsc.sharepoint.com/:i:/r/sites/COTEAM-ULIB-OntheBooks/Shared%20Documents/General/OCRed/1952/Images/00046.jpg,1952,0,0,
276414,1952_0011,Act,SOUTH CAROLINA,"(2) No part of the plumage, skin or body of any bird protected by this section shall be sold or had in possession for sale, and this irrespective of whether said bird was captured or killed within or without the state.",223,47,47,681,1,https://emailsc.sharepoint.com/:i:/r/sites/COTEAM-ULIB-OntheBooks/Shared%20Documents/General/OCRed/1952/Images/00047.jpg,1952,0,0,
276415,1952_0012,Act,SOUTH CAROLINA,"(3) No person within the state shall take or destroy, or attempt to take or destroy, the nest or the eggs of any bird protected by this section, or have such nest or eggs in his or their possession, except as permitted by section 17872 and 17873.",251,47,47,681,1,https://emailsc.sharepoint.com/:i:/r/sites/COTEAM-ULIB-OntheBooks/Shared%20Documents/General/OCRed/1952/Images/00047.jpg,1952,0,0,
276416,1952_0013,Act,SOUTH CAROLINA,"(4) It shall be unlawful for any person or persons, or any corporation acting as a common carrier, its officers, agents or servants, to ship, carry, take or transport, either within or beyond the confines of the state, any bird protected by this section except as permitted by Section 17873.",296,47,47,681,1,https://emailsc.sharepoint.com/:i:/r/sites/COTEAM-ULIB-OntheBooks/Shared%20Documents/General/OCRed/1952/Images/00047.jpg,1952,0,0,
