year,Page_No,state,sentence,jim_crow
1868-69,146,SOUTH CAROLINA,"an act to organize townships, and to define their powers and privileges.",0
1868-69,146,SOUTH CAROLINA,"be it enacted by the senate and house of representatives of the state of south carolina, now met and sitting in: general assembly, and by the authority of the same, the inhabitants of every township are hereby declared to be a body politic and corporate; and by their corporate name may sue and be sued, prosecute and defnd any proper action or suit at law, and may appoint all necessary agents and attorneys in their behalf.",0
1868-69,146,SOUTH CAROLINA,"said townships may hold real estate for the use of the inhabitants, and may convey the same either by a vote of the inhabitants, or by deed of their committee or agent; may hold personal estate for the public use of the inhabitants, and alienate and dispose of the same by vote or otherwise; may hold real and personal estate in trust for the support of schools and for the promotion of education within the limits of the town; may make contracts necessary for the exercise of their corporate powers; and may make orders for the disposal or use of their corporate property, as they may judge necessary an the inhabitants.",0
1868-69,146,SOUTH CAROLINA,"expedient for the interest of src. 3. said towns may, at legal meetings, grant and vote such sums of money as they judge necessary for the following purposes:1.",2
1868-69,146,SOUTH CAROLINA,for the oo support of town schools.,2
1868-69,146,SOUTH CAROLINA,"layin ut, discontinuing, making, altering and repairing highways, and for 1 a bo rand materials to be used thereon.",0
1868-69,146,SOUTH CAROLINA,for burial grounds.,0
1868-69,146,SOUTH CAROLINA,for all necessary charges and liabilities arising therein.,0
1868-69,146,SOUTH CAROLINA,"the lines between the towns in this state shall be perambulated, and the marks and bounds renewed once in every seven years forever, by the selectmen of such towns, or by such person as they shall appoint for that purpose.",0
1868-69,146,SOUTH CAROLINA,every.,0
1868-69,146,SOUTH CAROLINA,"male citizen of the age of twentyone years and upwards, resident within the township, shall be allowed to vote, under the same limitations and restrictions as provided in section 2 of article viii of the constitution for a voter in the county, at all meetings held for the transaction of town business.",2
1868-69,146,SOUTH CAROLINA,the annual meeting of eac h town shall be held on the second tuesday of april; and other meetings at such times as the selectmen may order.,0
1868-69,146,SOUTH CAROLINA,"meetings may be adjourned from time to time, and to any place within the town.",0
1868-69,146,SOUTH CAROLINA,"every town meeting shall be held in pursuance of a warrant under the hands of the selectmen, or a majority thereof, directed to the constable, or some other person appointed by the selectmen for that purose, who y law.",0
1868-69,146,SOUTH CAROLINA,"shall forthwith notify such meeting in the manner prescribed lace of the meeting, src. 8. the warrant shall express the time and i ectmen shall insert and the subjects to be there acted upon; the se therein all subjects which may, in writing, be requested .of them by any ten or more voters of the town, and nothing acted upon shall have a legal operation unless the subject matter thereof is contained in the warrant.",0
1868-69,146,SOUTH CAROLINA,"hf the selectmen unreasonably refuse to call a meeting, any justice of the peace of the town, upon the application of ten or more legal voters of the town, may call such meeting, by warrant under his hand,",0
1868-69,147,SOUTH CAROLINA,"directed to the constable of the town, if any, otherwise to any of the per' sons applying therefor, directing them to summon the inhabitants qualiexpressed in the warrant.",0
