year,Page_No,state,sentence,jim_crow,Coding (Axton)
1896,63,SOUTH CAROLINA,"it shall be the duty of each county treasurer to report monthly, on the fifteenth day of each month, to the county superintendent of education of his county the amount of collections and disbursements made by him for the month on account of school tax and all other school funds; and it shall be a misdemeanor on the part of any county treasurer to neglect, fail or refuse to make such report, and on conviction thereof he shall pay a fine of not more than five hundred dollars, the same to be used for school purposes in his county.",0,
1896,63,SOUTH CAROLINA,"all moneys disbursed by any county treasurer on account of school funds, taxes or other school funds shall be paid on the order of the board of school trustees, countersigned by the county superintendent of education or as otherwise directed by law.",0,
1896,63,SOUTH CAROLINA,"each county treasurer shall make out and forward to the state superintendent of education annually on the first day of november a certified statement showing (by school districts) the amount of poll tax and the amount of all other school taxes collected by him for the fiscal year ending on the 31st day of december next preceding; and should any county treasurer fail or neglect or refuse to make and forward the statement as herein required, the state superintendent of education shall make a written complaint to the circuit solicitor for the county in which the said treasurer resides, who shall prosecute the said county treasurer for the same, and on conviction thereof he shall be subject to a fine not more than five hundred dollars, the same to be used for free public school purposes in his county.",0,
1896,63,SOUTH CAROLINA,"the county treasurer shall carry forward all sums in his hands collected for any previous year or years for school purposes and unexpended to the next fiscal year and credit the same to the school district respectively for which it was apportioned, and he shall report the same to the county superintendent of education.",0,
1896,63,SOUTH CAROLINA,"it shall be unlawful for any county treasurer, county auditor, member of county board of education or school trustee to buy, discount or shave, directly or indirectly, or be in any way interested in, any teachers pay certificate or other order on the school fund except such as are payable to him for his own services.",0,
1896,63,SOUTH CAROLINA,"if any of the officers aforesaid shall violate the provisions of this section he shall be deemed guilty of a misdemeanor and on conviction thereof shall pay a fine of not less than five hundred dollars nor more than two thousand dollars, to be used for school purposes in his county, and shall be imprisoned at the discretion of the court, or either or both, and shall forfeit the amount of such claim or of his interest in such claim.",0,
1896,63,SOUTH CAROLINA,"and the county board of education shall regulate the opening and closing of the school terms so as best to promote and subserve the educational interest of the different section of their counties: provided, that all contracts which boards of trustees may make in excess of the funds apportioned to their district shall be void.",1,
1896,63,SOUTH CAROLINA,it shall not be lawful for any person who is less than six or more than twentyone years of age to attend any of the free public schools of this state.,2,
1896,63,SOUTH CAROLINA,"the members of the state board of education appointed by the governor, members of the county boards of education appointed by the state board of education and members of the boards of trustees shall be exempt from militia duty, and members of the boards of trustees shall also be exempt from road duty.",0,
1896,63,SOUTH CAROLINA,"if a member of any county board of education in any county of the state, or a trustee of any school district, shall attempt to act or discharge the duties of either of said officers after he shall have been removed, or after his successor shall have qualified, he shall be deemed guilty of a misdemeanor, and after conviction be punished by a fine of not less than one hundred and one dollars or imprisonment for not less than thirtyone days, or both, at the discretion of the court.",2,
1896,63,SOUTH CAROLINA,"that it shall be unlawful for any teacher of a school supported in whole or in part from the public school funds of this state, or any trustee of any such school, or any other school officer, to become an active or silent agent of any school book publisher, or be in any wise pecuniarily interested in the introduction of any school book or books into any school in this state.",0,
1896,63,SOUTH CAROLINA,"any person violating any of the provisions hereof shall, upon conviction thereof, be deemed guilty of a misdemeanor, and be subject to a fine of not less than one hundred dollars or imprisonment in the county jail for a period of not less than thirty days, or both, at the discretion of the circuit judge.",0,
1896,63,SOUTH CAROLINA,it shall be unlawful for pupils of one race to attend the schools provided by boards of trustees for persons of another race.,1,
1896,63,SOUTH CAROLINA,"that should the amount raised by the three mill tax and the poll tax and the net income to the state from the sale or license for the sale of alcoholic liquors for school purposes not yield at any time within the next three fiscal years, beginning with january 1st, 1896, an amount equal to three dollars per capita of the number of children enrolled in the public schools of each county for the scholastic year ending october 31, 1895, as it appears in the report of the state superintendent of education for such scholastic year, the comptrollergeneral shall for the three next ensuing fiscal years, on the first day of each year, levy such an annual tax on the taxable property of the state as he may determine to be necessary to make up such deficiency, to be collected in the same manner as other state taxes, and apportion the same among the counties of the state in proportion to the respective deficiencies therein.",2,
