year,Page_No,state,sentence,jim_crow
1877,571,SOUTH CAROLINA,an act ro amenp an act entitleed an act to esttabliish uniformity in the sessions of the circuit couurts.,0
1877,571,SOUTH CAROLINA,"be it enacted by the senate and house of representatives of the state of south carolina, now met and sitting in general assembly, and by the authority of the same, that section 5 of an act entitled an act to establish uniformity in the sessions of the circuit courts, approved june 9th, 1877, be, and the same is hereby, amended by striking out the eleventh line thereof and inserting in lieu thereof third monday in february, second monday in june and third monday in september.",0
1877,571,SOUTH CAROLINA,"that the said section be amended on line 15, at the end of the section, by adding the words and the fourth monday in june.  approved march 22, 1878.",0
1877,571,SOUTH CAROLINA,an act to alter and amend the schoo.t law of sour carolina.,2
1877,571,SOUTH CAROLINA,"be it enacted by the senate and house of representatives of the state of south carolina, now met and sitting in general assembly, and by the authority of the same, that the state superintendent of education and four (4) persons to be appointed by the governor, by and with the advice and consent of the senate, who shall hold office for two years and until their successors may be appointed, unless sooner removed by the governor, shall constitute the state board of examiners.",0
1877,571,SOUTH CAROLINA,of this board the state superintendent of education shall be ez officio chairman.,0
1877,571,SOUTH CAROLINA,"the clerk of the state superintendent of education, as hereinafter provided for, shall be clerk of the state board of examiners.",0
1877,571,SOUTH CAROLINA,"he shall be custodian of its records, papers and effects, and shall keep minutes of its proceedings; and said records, papers and minutes shall be kept in the office of the state superintendent of education and shall be open to inspection.",0
1877,571,SOUTH CAROLINA,"that the said board shall meet on the call of its chairman, or upon the request of a majority of its members, at the office of the state superintendent of education, or at such other place as may be designated in the call.",0
1877,571,SOUTH CAROLINA,a majority of the board shall constitute a quorum for transacting business.,0
1877,571,SOUTH CAROLINA,that the official seal of the state superintendent of education shall be used for the authentication of the acts of the state board of examiners.,0
1877,572,SOUTH CAROLINA,"that the state board of examiners shall constitute an advisory body with whom the state superintendent of education shall have the right to consult when he is in doubt as to his official duty; and shall have power to review all decisions of the county boards of examiners, as hereinafter provided for appeals to the state board of examiners must be made through the county boards of examiners in writing and must distinctly set forth the question of law as well as the facts of the case upon which the appeal is taken, and the decision of the state board shall be final upon the matter in issue.",0
1877,572,SOUTH CAROLINA,that the state board of examiners shall have power 1st. to adopt rules and regulations not inconsistent with the laws of the state for its own government and for the government of the free public schools 2d.,0
1877,572,SOUTH CAROLINA,to prescribe and enforce rules for the examination of teachers 3d. to prescribe a standard of proficiency before county boards of examiners which will entitle persons examined by such boards to certificates as teachers.,0
1877,572,SOUTH CAROLINA,"to prescribe and enforce the course of study in the free public schools, 5th. to prescribe and to enforce as far as practicable the use of a uniform series of text books in the free public schools, except in the city of charleston provided, that the state board of examiners shall not have power without permission of the general assembly of the state to change a text book within five (5) years from the date of its adoption.",0
1877,572,SOUTH CAROLINA,"to grant teachers state certificates, and to revoke them for immoral or unprofessional conduct, profanity or evident unfitness for teaching.",2
1877,572,SOUTH CAROLINA,to review on appeal an order revoking a county certificate.,0
1877,572,SOUTH CAROLINA,"that the state board of examiners shall, during the first week th may angl the first weck in september of each year, and at such other times as may be necessary, examine all persons who may make application as to their qualification for teaching school in this state; and that to every person of good moral character who passes a satisfactory examination the board shall issue a certificate of qualification, to be signed by its chairman, which certificate shall authorize the person to whom it is given to teach in any of the free public schools of this state in which his or her services may be desired by the trustees of the school in which he or she may make application to teach, without further evidence of",2
1877,573,SOUTH CAROLINA,qualification.,0
1877,573,SOUTH CAROLINA,"suid certificates shall be valid for the term of two (2) years, unless sooner revoked, and they may be renewed with or without examination at the discretion of the state board of examiners.",2
1877,573,SOUTH CAROLINA,notice of the meetings provided for in this section shall be given in at least two daily newspapers published in this state.,0
1877,573,SOUTH CAROLINA,"that a state superintendent of education shall be elected at each general election in the same manner as other state officers, who shall enter upon the duties of his office at the time prescribed by law.",0
1877,573,SOUTH CAROLINA,"that he shall, before entering upon the duties of his office, give bond for the use of the state of south carolina in the penal sum of five thousand (5,000) dollars, with good and sufficient sureties, to be approved by the governor, conditioned for the faithful and impartial performance of the duties of his office; and he shall, also, at the time of giving bond, take and subscribe the oath prescribed in section 30 of article ii of the constitution of the state, which oath shall be endorsed upon the back of said bond, and the bond shall be filed with and preserved by the secretary of state.",0
1877,573,SOUTH CAROLINA,"that the state superintendent of education shall receive as compensation for his services the sum of two thousand dollars per annum, payable monthly out of the state treasury.",0
1877,573,SOUTH CAROLINA,"that he shall have general supervision over all the free public schools of the state, and it shall be his duty to visit every county in.the state, for the purpose of inspecting the schools, awakening an interest favorable to the cause of education, and diffusing as widely as possible by public addresses and personal communication with school officers, teachers and parents, a know!ledge of existing defects and of desirable improvements in the government and instruction of the said schools.",0
1877,573,SOUTH CAROLINA,"that he shall secure, by and with the advice of the state board of examiners, uniformity in the use of text books throughout the free public schvols of the state, and shall forbid the use of sectarian or partisan books and instruction in said schools.",0
1877,573,SOUTH CAROLINA,"that heshall prepare and transmit to the several county school commissioners school registers, blank certificates, reports and such other suitable blanks, forms and printed instructions as may be necessary to aid school officers and teachers in making their reports and carrying into full effect the various provisions of the school laws of this state; and shall cause the laws relating to the free public schools, with such rules, regulations, forms and instruc",0
1877,574,SOUTH CAROLINA,"tions as shall be legally prescribed, to be priuted, together with a suitable index, in pamphlet form, by the person authorized to do the state printing, at the expense of the state; and he shall cause copies of the same to be transmitted to the several county school commissioners for distribution sec. 13. that it shall be the duty of the state superintendent of education to collect in his office such school books, apparatus, maps and charts as can be obtained sec. 14. that copies of all papers filed in the office of the state superintendent of education and his official acts may be certified by him, and when so certified shall be evidence equally and in like manner as the original papers.",0
1877,574,SOUTH CAROLINA,that the state superintendent of education shall submit in his annual report a statement of his official visits during the past year.,0
1877,574,SOUTH CAROLINA,"16. that he shall make a report through the governor to the general assembly at each regular session thereof, showing 1st. the whole number of persons that attended the free common schools of the state during the year ending the thirtyfirst day of the last preceding august, and the number in each county that attended during the same period 2d.",0
1877,574,SOUTH CAROLINA,"the number of whites of each sex that attended the said schools, and the number of colored of each sex that attended the said schools.",1
1877,574,SOUTH CAROLINA,the number of free public scbooia in the state.,0
1877,574,SOUTH CAROLINA,the number of pupils that studied each of the branches taught.,0
1877,574,SOUTH CAROLINA,"the average wages paid to teachers of each sex 6th. the number of school houses erected during the year, and the location, material and cost thereof 7th. the number previously erected, the material of their construction, their condition and value, and the number with the grounds enclosed 8th. the counties in which teachers institutes were held and the number that attended the institutes in each county 9th.",0
1877,574,SOUTH CAROLINA,"such other statistical information as he may deem important, together with such plans as he may have matured and the state board of examiners may have recommended for the management and improvement of the school fund, and for the more perfect organization and efficiency of the free public schools 10th.",0
1877,574,SOUTH CAROLINA,the number and cost of books furnished to each county school commissioner,0
1877,575,SOUTH CAROLINA,"that the sum of nine hundred dollars be allowed to the superintendent of education for the purpose of defraying the expenses of clerk hire in his office sec. 18. that the state superintendent of education shall take and hold in trust for the state any grant or devise of jands and any gift or bequest of money or other personal property made to him for educational purposes, and shall pay into the state treasury, for safe keeping and investment, all moneys and incomes from property so received.",0
1877,575,SOUTH CAROLINA,"the state treasurer shall from time to time invest all such money in the name of the state, and shall pay to the state superintendent of education, on the warrant of the comptroller general, the income or principal thereof as he shall from time to time require: provided, that no disposition shall be made of any grant, devise, gift or bequest inconsistent with the conditions or terms thereof.",0
1877,575,SOUTH CAROLINA,"for the faithful management of all property so received by the state treasurer, he shall be responsible, upon his bond, to the state as for other funds received by him in his official capacity: provided, however, that the trustees of any school district of this state may take and hold in trust for their particular school district any grant or devise of lands, and any gift or bequest of money, and apply the same in the interest of the schools of their district in such manner as, in their judgment, seems most conducive to the welfare of the schools, when not otherwise directed by the terms of the said grant or devise, gift or bequest: and provided, further, that before said trustees shall assume control of any such grant, devise or bequest they shall give a bond, to be approved by the board of examiners of the county in which such grant, devise or bequest is made, said bond to be deposited with the clerk of the court of said county.",1
1877,575,SOUTH CAROLINA,"the said trustees are hereby invested with the care and custody of all schonl houses, sites or other property belonging to the state superintendent of education within the limits of their jurisdiction, with full power to control the same in such manner as they may think will best subserve the interest of the free publi schools and the cause of education, subject to the control of the state superintendent of education.",0
